,session_id,channel_grouping,device,medium,campaign,source,start_date_date,hits_transaction.transactionCoupon,hits_transaction.localTransactionTax,hits_transaction.localTransactionRevenue,hits_transaction.currencyCode,hits_transaction.affiliation,hits_transaction.transactionTax,hits_transaction.transactionRevenue,hits_transaction.transactionId,hits_social.socialInteractionNetworkAction,hits_social.hasSocialSourceReferral,hits_social.socialNetwork
0,26505c883b44bdb79d117018710ea6fa,Oniverse,mobile,qr,cloudx-fw20,box,2022-01-01,(not set),14200000,174190000,USD,United States,12958195,158956912,R013658415, : ,No,(not set)
1,8ed4810a6c72856becda025044b01606,Affiliates,desktop,affiliate,skimlinks.com,avantlink-usa,2022-01-06,(not set),22270000,292250000,USD,United States,20407311,267805868,R823160614, : ,No,(not set)
